ID,Category,Object Name,Common Name,Producer,Date Produced,Collector,Place Collected,Date Collected,Culture,Materials,Measurements,Description,Image ref.
FA000017,Fine Art,Oil Painting,,Rex Whistler,"June 5-7, 1944",,,,English,Oil paint on wallpaper laid on canvas on stretcher,Whole: 1589 mm x 2477 mm Frame 1793mm x 2677mm x 71mm,This painting by Whistler shows the Prince Regent wearing nothing but a pair of wings and the Garter Star. He kneels over a sleeping woman who symbolises 'The Spirit of Brighton'. The scenery in the background is the sea and above are clouds and stars.,dmas_fa000017_d01_cc1024.jpg
FA000027,Fine Art,Oil Painting,,Thomas Lawrence,1821-1822; Regency,,,,,Oil paint on canvas,Whole: 1423 mm x 1118 mm,"This is a half length portrait of George IV wearing a black coat with fur trimming, a medal and the Garter Star. He is sitting on a red couch with a black case and papers beside him.",dmas_fa000027_d01_cc1024.jpg
FA000031,Fine Art,Oil Painting,,Benjamin Barker II,1807; Regency,,,,,Oil paint on canvas,Whole: 1165 mm x 1725 mm,This landscape painting shows a rocky outcrop and trees to the right with a figure and four cows in the foreground. A river winds through rocks and countryside down to rapids in the foreground.,dmas_fa000031_d01_cc1024.jpg
FA000033,Fine Art,Oil Painting,,Francis Wheatley,1788,,,,English; British,Oil paint on canvas,Whole: 1240 mm x 1490 mm x 80 mm,"This painted scene depicts a scene at a military camp. In the foreground a peasant family is selling chickens to officer soldiers mounted on horseback. In the background are horses, a drummer. soldiers, flags, tents, wagons, campfires and a pile of kegs. In the distance are wooded hills.",dmas_fa000033_d01_cc1024.jpg
FA000034,Fine Art,Tempera Painting,,William Blake,1799; Regency,,,,,Tempera on canvas,Whole: 257 mm x 370 mm,"In this painting by William Blake we see the three Magi dressed in red, orange and purple offer gifts to Joseph and Mary in the stable. An ox and ass can be seen in the corner of the stable. A star shines in through the doorway of the stable.",dmas_fa000034_d01_cc1024.jpg
FA000036,Fine Art,Oil Painting,,Edward John Poynter,1890,,,,English; British,Oil paint on canvas,Support: 365 mm x 220 mm; Frame: 565 mm x 389 mm x 55 mm,A young boy sits on temple steps.,dmas_fa000036_ud01_cc1024.jpg
FA000037,Fine Art,Oil Painting,,Lawrence Alma-Tadema,1892,,,,English; British,Oil paint on canvas,support: 392 x 355 mm,"This painting by Lawrence Alma-Tadema shows a couple sitting on a lakeside verandah: he looks expectantly, fingering a ring, while she looks away smiling. A statue and a rose-covered column are behind them.",dmas_fa000037_d01_cc1024.jpg
FA000038,Fine Art,Oil Painting,,Lawrence Alma-Tadema,1887,,,,,Oil paint on wood panel,Whole: 404 mm x 549 mm,This painting by Lawrence Alma-Tadema shows two women dressed in classical attire sitting on tiger skins in the corner of a marble room. One woman is lying down on cushions looking up at the other woman who leans forward to see if anyone is coming.,dmas_fa000038_d01_cc1024.jpg
FA000039,Fine Art,Oil Painting,,Edward Lear,1884,,,,,Oil paint on canvas,Whole: 825 mm x 1658 mm,"This painting by Edward Lear, a painter and writer of nonsense verse such as 'The Owl and the Pussycat' shows a panoramic view of a wide river flanked by steep banks on either side.In the foreground to the right are several men by the river, to left of the picture elephants bathe in the river. In the background is a mountain plateau and the minarets and domes of Gwalior can be seen in the distance.",dmas_fa000039_d01_cc1024.jpg
FA000043,Fine Art,Oil Painting,,John Brett,1881,,,,,Oil paint on canvas,Whole: 171 mm x 350 mm,"This painting shows Watergate bay in Cornwall, a sandy beach is surrounded by rocks and steep cliffs.",dmas_fa000043_d02_cc1024.jpg
FA000047,Fine Art,Oil Painting,,Philip Lodewijk Jacob Frederik Sadée,c1875,,,,Dutch,Oil paint on board,Whole: 349 mm x 403 mm x 40 mm,This oil painting shows men and women (one carrying a baby) bringing baskets up the beach. Fishing boats lie beached at right. Cloudy sky and grey sea behind.,dmas_fa000047_d01_cc1024.jpg
FA000060,Fine Art,Oil Painting,,Hendrik van Balen I; Jan Brueghel the Elder,c1610,,,,Dutch,Oil paint on wood panel,Whole: 394 mm x 530 mm,This painting shows depicts the story of Pluto carrying Persephone off to the underworld. Persephone's attendant nymphs reach out to Persephone whilst Cupid stands behind Pluto with his bow and arrow.,dmas_fa000060_d01_cc1024.jpg
FA000061,Fine Art,Oil Painting,,Osias Beert the Elder,c1610,,,,,Oil paint on oak panel,Whole: 563 mm x 758 mm,"This painting shows a table with four pewter plates containing fruit, nuts, olives and grapes. In the centre of the table is a cup made from a nautilus shell and a chinese porcelain cup that holds mulberries. There are two wine glasses also placed on the table; one contains wine and the other contains water. At the front of the table is half a loaf of bread as well as a white butterfly resting on a grape stalk.",dmas_fa000061_d01_cc1024.jpg
FA000062,Fine Art,Oil Painting,,Jan Mostaert,c1525,,,,Netherlandish,Oil paint on panel,Support: 470 mm x 335 mm,"This painting shows a half-length figure of Christ, his head crowned with thorns. On a tablet tied around his neck is inscribed 'ECCE  (written eeee) REX VESTER'.",dmas_fa000062_d01_cc1024.jpg
FA000063,Fine Art,Oil Painting,,Denys van Alsloot,c1614,,,,Netherlandish,Oil paint on wood panel,Whole: 443 mm x 587 mm,"This painting by Denys van Alsloot shows a frozen lake with skaters and a village at the foot of the hills, behind which an orange sun is setting behind a group of trees in the centre foreground. Among the foreground figures are three peasants leading a boar downhill. Snow lies everywhere.",dmas_fa000063_d01_cc1024.jpg
FA000069,Fine Art,Oil Painting,,Austrian School,c1720,,,,,Oil paint on canvas,Whole: 606 mm x 507 mm,"This painting shows a composition of baroque arches, steps and balconies seen through an ornate central arch. This the left and right sides of this central arch are in different styles and do not match in the centre. Scroll-work, statues and putti can also be seen.",dmas_fa000069_d01_cc1024.jpg
FA000073,Fine Art,Oil Painting,,Hans von Aachen (style of),c1590,,,,,Oil paint on wood panel,Whole: 510 mm x 390 mm,"In the centre of this Nativity scene the Christ Child lies in a manger. The stable is crowded with shepherds and animals, Mary and Joseph stand beside with an angel, above are Cherubim and through the door of the stable a shaft of light from a star can be seen.",dmas_fa000073_d01_cc1024.jpg
FA000074,Fine Art,Oil Painting,,Austrian School,c1725,,,,,Oil paint on wood panel,Whole: 498 mm x 400 mm,"This painting shows Bacchus sitting on a cloud with a cup of wine held aloft, Ariadne and several cherubs sit beside him.",dmas_fa000074_d01_cc1024.jpg
FA000078,Fine Art,Oil Painting,,Claudio Francesco Beaumont,c1740,,,,,Oil paint on canvas,Whole: 580 mm x 705 mm,This painting shows a banquet taking place amid canopies and Italian architecture. Alexander is wearing red robes and a helmet and looks on as Roxanna takes fruit from a page-boy.,dmas_fa000078_d01_cc1024.jpg
FA000091,Fine Art,Oil Painting,,Glyn Philpot,1935,,,,English; British,Oil paint on canvas,Whole: 1155 mm x 876 mm,This painting by Glyn Philpot shows two seated acrobats in singlets and tights. One has his arms crossed whilst the other has his hands behind his back. To the left of the of the painting in the foreground a dark blue curtain hangs down.,dmas_fa000091_d01_cc1024.jpg
FA000100,Fine Art,Oil Painting,,Flemish School,c.1505,,,,,Oli paint; Oak panel,Whole: 582 mm x 437 mm x 40 mm,"St Catherine kneels before the holy family, a broken wheel beside her. Behind is a Flemish landscape with distant town.",dmas_fa000100_d01_cc1024.jpg
FA000101,Fine Art,Oil Painting,,English School,c1580,,,,English; British,Oil paint on wood panel,Whole: 540 mm x 435 mm,"This Memento Mori contains seven inscriptions in cartouches at the top, bottom and centre of the painting. Above the central cartouche strides Winged Death, holding a sickle and an hourglass. To the left is a finely dressed man with a ruff and sword and at the right is an old man leaning on a staff and holding a book. At the bottom of the picture is a skeleton lying in a open coffin.",dmas_fa000101_d01_cc1024.jpg
FA000102,Fine Art,Oil Painting,,(Attributed to) Pieter van der Borght,1618,,,,,Oil paint on copper panel,Whole: 258 mm x 351 mm,"This painting shows Joseph and Mary and the infant Jesus in a rough timber shed drying a garment beside a fire. Their donkey, beside them, nibbles on straw from the roof of the shed. The surrounding trees and ground is sprinkled with snow and a track leads back into the distance.",dmas_fa000102_d01_cc1024.jpg
FA000105,Fine Art,Oil Painting,,Lucas Cranach the Elder,1532,,,,,Oil paint on board,Whole: 207 mm x 146 mm,"This painting by Cranach shows the head and shoulders of Frederick the Wise who has a grey beard and is  wearing a dark cap and fur-lined coat. Below the painting is a poem and in the upper right part of the painting is an inscription that identifies Frederick III, 'The Wise', Elector of Saxony, 1486 - 1525.",dmas_fa000105_d01_cc1024.jpg
FA000107,Fine Art,Oil Painting,,Esaias van den Velde,1623,,,,,Oil paint on board,Whole: 292 mm x 490 mm,"This painting by Esaias van de Velde is a countryside scene that shows a house by a river with a boat moored nearby. A man attends to the rigging on the boat whilst other figures stand on the river bank, a man on a horse talks to another man sitting on the ground and a young boy chases a black and white dog. To the right of the painting the river meanders into the distance.",dmas_fa000107_d01_cc1024.jpg
FA000121,Fine Art,Oil Painting,,Robert Polhill Bevan,c1909-1910,,,,English; British,Oil paint on canvas,Whole: 635 mm x 700 mm,"This oil painting by Robert Polhill Bevan shows two hansom cabs, one with a horse in harness, standing in a cobbled yard. The dark mottled blue of the cabs contrasts with the light mottled yellow of the far wall. Two men in overcoats, a ladder and a gutter can be seen as well. 
Bevan lived in London in 1900 and was a founder member of the Camden Town Group in 1911. His paintings often depicted street scenes, cab yards and horse sales.",dmas_fa000121_d01_cc1024.jpg
FA000124,Fine Art,Oil Painting,,English School,c1750,,,,English; British,Oil paint on canvas,Whole: 1230 mm x 988 mm,"This painting is a half length portrait of William IV, Prince of Orange. He is dressed in full wig and armour, he carries a staff in his right hand.",dmas_fa000124_d01_cc1024.jpg
FA000125,Fine Art,Oil Painting,,British (English) School,c1820; Regency,,,,British; English,Oil paint on canvas,Whole: 1350 mm x 1004 mm,"This painting of Lady Mary Brown, she is seated and dressed in velvet and ermine with a lace collar. In her hands she holds a pair of gloves.",dmas_fa000125_d01_cc1024.jpg
FA000127,Fine Art,Oil Painting,,English School,c1700,,,,English; British,Oil paint on canvas,Whole: 1270 mm x 1025 mm,"This painting shows a young man dressed in Baroque clothes, he has a red gown draped around him with white sleeves showing through. He holds a small branch in his hand.",dmas_fa000127_d01_cc1024.jpg
FA000130,Fine Art,Oil Painting,,English School,c1800; Regency,,,,English; British,Oil paint on canvas,Whole: 886 mm x 1213 mm,This painting shows several figures standing on a high ridge of rock overlooking a lake and a valley beyond with towering mountains in the hazy sunshine and mist.,dmas_fa000130_d01_cc1024.jpg
FA000131,Fine Art,Oil Painting,,William H Bartlett,1904,,,,,Oil paint on canvas,Whole: 1057 mm x 1562 mm,This painting shows three men and a woman with some sheep in a sailing boat off a rocky coast. Sunlight reflects off the water.,dmas_fa000131_d01_cc1024.jpg
FA000132,Fine Art,Oil Painting,,Glyn Philpot,1936,,,,English; British,Oil paint on canvas,Support: 1295 mm x 742 mm,"This oil painting by Glyn Philpot shows a man in red underpants sitting on a block against a greenish background with a blue strip to the left. His head and eyes appear downcast.
Exhibited: 
London, Royal Academy, 1937, no. 434. 
London, Redfern Gallery, 1937, no. 10. 
London, Tate Gallery,Memorial Exhibition, 1938, no. 62. 
Brighton Art Gallery,Glyn Philpot, 1953, no. 25. 
Worthing Art Gallery,Glyn Philpot, 1962, no. 25. 
London, National Portrait Gallery,Glyn Philpot, 1984-85, no. 63. 
Chichester, Pallant House,Glyn Philpot, 1998. 
York, City Art Gallery and tour,The Artist's Model, 1999, no. 85, illus. p. 103.",dmas_fa000132_d01_cc1024.jpg
FA000133,Fine Art,Oil Painting,,Richard Henry Nibbs,c1843,,,,,Oil paint on canvas,Whole: 1070 mm x 1835 mm,"In this painting by Nibbs Queen Victoria descends from the Royal Paddle Steamer in to a smaller boat as the crew raise their oars in salute. Other ships and boats with flags flying surround the Queen and in the distance, to the right the Chain Pier can be seen.",dmas_fa000133_d01_cc1024.jpg
FA000134,Fine Art,Oil Painting,,W Beeton; Edward Hargitt,1864,,,,,Oil paint on canvas,Whole: 862 mm x 1117 mm,This painting shows a crowd of mounted horsemen and women riding in Rotten Row in Hyde Park in London. In the 18th and 19th century Rotten Row was a fashionable place to be seen for upper class Londoners.,dmas_fa000134_d01_cc1024.jpg
FA000137,Fine Art,Oil Painting,,Alice Fanner,c1920,,,,English; British,Oil Paint on Canvas,Support: 1016 mm x 1525 mm,"This painting by Alice Fanner shows figures on a beach beneath tall white chalk cliffs whilst swimmers bathe in the sea. 
This painting was exhibited at the Daily Express Women's Exhibition in 1922. 
Fanner was well known for her marine landscapes.",dmas_fa000137_d02_cc1024.jpg
FA000144,Fine Art,Oil Painting,,English School,c1660,,,,English; British,Oil paint on canvas,Whole: 810 mm x 656 mm,"This painting is of Lord Fairfax, a supporter of Oliver Cromwell and one of the most senior Parliamentarian commanders in the English Civil War in the seventeenth century. This half length profile of Lord Fairfax shows him wearing a full wig, lace necktie and red cape.",dmas_fa000144_d01_cc1024.jpg
FA000145,Fine Art,Oil Painting,,English School,c1775,,,,English; British,Oil paint on wood panel,Whole: 535 mm x 756 mm,This painting shows trees in a field at dusk.,dmas_fa000145_d01_cc1024.jpg
FA000157,Fine Art,Oil Painting,,Mark Gertler,1926,,,,English; British,Oil paint on canvas,Support: 736 mm x 762 mm; Frame: 863 mm x 846 mm,"This painting by Mark Gertler shows a table upon which stands various items including a wooden puppet, china parrot, a plant pot, flowers in a vase and playing cards placed on a table. A  red curtain tied back with cord is seen to the right.",dmas_fa000157_d01_cc1024.jpg
FA000171,Fine Art,Oil Painting,,Philippe de Champaigne,c1640,,,,,Oil paint on canvas,Whole: 645 mm x 490 mm,"This painting depicts the face of Christ wearing a crown of thorns with blood and tears dripping down his face The story of the veil is that when Christ was passing on his way to Calvary, Veronica came out of her house and gave Christ a veil to wipe his face on and his features were then miraculously imprinted on to the cloth.
The artist Phillippe de Champaigne was born in Brussels but worked in Paris most of his life where he was court painter to Louis XIII.",dmas_fa000171_d01_cc1024.jpg
FA000180,Fine Art,Oil Painting,,English School,c1680,,,,English; British,Oil paint on canvas,Whole: 1195 mm x 970 mm,This seventeenth century portrait shows a young boy dressed in a brown frock coat with a white cravat and sleeves with buckled shoes. He sits with a small dog at his lap in a woodland setting.,dmas_fa000180_d01_cc1024.jpg
FA000183,Fine Art,Oil Painting,,English School,c1600,,,,English; British,Oil paint on wood panel,Whole: 395 mm x 558 mm,"This half length portrait shows a man and woman side by side dressed in Elizabethan costume. The man has fair hair and wears red and gold with a ruff, the woman wears a lace ruff and ruby brooch in her hair. She holds her right hand to her breast.",dmas_fa000183_d01_cc1024.jpg
FA000185,Fine Art,Oil Painting,,English School,c1780,,,,English; British,Oil paint on canvas,Whole: 535 mm x 436 mm,This is a head and shoulders portrait of a young woman with her hair falling on to her shoulder. She is wearing a low-cut dress with a white ruff at the front,dmas_fa000185_d01_cc1024.jpg
FA000187,Fine Art,Oil Painting,,English School,c1750,,,,English; British,Oil paint on canvas,Whole: 762 mm x 631 mm,"This portrait is of a middle-aged, round faced man in a powdered wig. He is wearing a brown coat and a white cravat.",dmas_fa000187_d01_cc1024.jpg
FA000191,Fine Art,Oil Painting,,English School,c1820; Regency,,,,English; British,Oil paint on canvas,Whole: 763 mm x 636 mm,"This half length portrait is a side view of a seated man wearing a black coat, white collar and tie. His arm rests on some paper on a desk.",dmas_fa000191_d01_cc1024.jpg
FA000200,Fine Art,Oil Painting,,(Attributed to) Ludolph Backhuysen I,1630-1708,,,,,Oil paint on canvas,Whole: 495 mm x 602 mm,This painting shows three boats and a battleship with tricolours at sea. One boat in the foreground has it's mainsail trailing in the sea.,dmas_fa000200_d01_cc1024.jpg
FA000203,Fine Art,Oil Painting,,English School,c.1850,,,,English; British,Oil paint on canvas,Whole: 458 mm x 604 mm,This painting shows a Man-O-War battleship leaning slightly to the right in the sea with guns showing. There is another ship further away in the distance to the right and a rowing baot in the foreground to the left.,dmas_fa000203_d01_cc1024.jpg
FA000206,Fine Art,Oil Painting,,James Bennett,19th Century,,,,,Oil paint on canvas,Whole: 394 mm x 595 mm,This painting shows two fishermen in the far right foreground sitting on the beach. In the distance figures can be seen bathing beside the wooden groynes. Beside them is the Pump House and several boats.,dmas_fa000206_d01_cc1024.jpg
FA000210,Fine Art,Oil Painting,,English School,c1765,,,,English; British,Oil paint on canvas,Whole: 780 mm x 1120 mm,This painting shows a horse and carriage on a road in the centre of the picture. To the left are several houses and people standing. To the right is a river with houses on the far bank.,dmas_fa000210_d01_cc1024.jpg
FA000211,Fine Art,Oil Painting,,English School,c1600,,,,English; British,Oil paint on wood panel,Whole: 1035 mm x 800 mm,This painting shows a bearded man in seventeenth century dress holding a staff with an emblem in his right hand. He wears lace cuffs and finely wrought costume. In the upper right of the painting is a coat of arms.,dmas_fa000211_d01_cc1024.jpg
FA000212,Fine Art,Oil Painting,,Jerry Barrett,19th Century,,,,,Oil paint on canvas,Whole: 1040 mm x 810 mm,"This painting by Jerry Barrett illustrates the moment on the night of 18 March 1772 when Sheridan, the famous playwright and politician, helped Elizabeth Linley, a singer and society beauty, escape her parent's house in Bath and elope with Sheridan to France.   The scene shows Sheridan helping Miss Linley into a carriage whilst holding an umbrella over her. In the left-hand side of the picture another figure holds up a lantern.",dmas_fa000212_d01_cc1024.jpg
FA000213,Fine Art,Oil Painting,,Harold Gilman,1914,,,,English; British,Oil paint on canvas,Whole: 610 mm x 458 mm,"This painting by Harold Gilman is of a woman sitting in a chair, she plays with a red coral necklace around her neck.",dmas_fa000213_d01_cc1024.jpg
FA000215,Fine Art,Oil Painting,,Arthur Hacker,1912,,,,English; British,Oil paint on canvas,Support: 713 m x 914 m,"In this painting by Arthur Hacker, street and theatre lights punctuate the greenish night; crowds and cabs are dimly discernible. 
The painting was purchased by Brighton Museum in 1913.",dmas_fa000215_d02_cc1024.jpg
FA000227,Fine Art,Oil Painting,,attributed to Italian (Nothern Italian) School,c1650,,,,Italian,Oil paint; canvas,Whole: 912 mm x 634 mm,"This scene shows a family, cowering away from the attack of Roman soldiers. Classical ruins are in the background.",dmas_fa000227_d01_cc1024.jpg
FA000228,Fine Art,Oil Painting,,English School,c1780,,,,English; British,Oil paint on canvas,Whole: 649 mm x 812 mm,This painting shows the Greek goddess Diana outstretched naked and sleeping on a red covered bed. On either side of her are cherubs.,dmas_fa000228_d01_cc1024.jpg
FA000230,Fine Art,Oil Painting,,British (English) School,c1750,,,,British; English,Oil paint on canvas,Whole: 890 mm x 1190 mm,This landscape painting shows a river flowing over rocks from a waterfall in the distance. In the foreground trees and pasture with grazing cattle can be seen.,dmas_fa000230_d01_cc1024.jpg
FA000231,Fine Art,Oil Painting,,English School,c1760,,,,English; British,Oil paint on canvas,Whole: 840 mm x 1352 mm,"This painting shows several figures at the water's edge by a pillar, behind them are trees and a rocky outcrop. Two ships sail in the distance with the moon shining through a dark, cloudy sky.",dmas_fa000231_d01_cc1024.jpg
FA000236,Fine Art,Oil Painting,,Richard Beavis,1875,,,,,Oil paint on canvas,Whole: 303 mm x 610 mm,This painting shows a scene on a beach with horses and wagons and a group of women with baskets. In the distance boats are visible on the sea.,dmas_fa000236_d01_cc1024.jpg
FA000239,Fine Art,Oil Painting,,George Washington Lambert,c1908,,,,,Oil paint on canvas,Whole: 406 mm x 609 mm,"This painting by George Lambert shows a man and woman dressed in smart Edwardian clothes lookily haughtily to the right of them. The scene they survey is a horsefair. A large brown horse is held by the reins by a man in a shirt, more indistinctingly in the background are several other horses. In the foreground two woman kneel as they watch a small girl playing on the ground.",dmas_fa000239_d01_cc1024.jpg
FA000242,Fine Art,Oil Painting,,English School,c.1750,,,,English; British,Oil paint on canvas,Whole: 807 mm x 1010 mm,"In the centre of this painting amongst classical scenery, stands a winged angel pointing upwards. A woman sits with her head resting on her hand whilst nearby a man reclines. In the distance a cliff with a tower can be seen and behind blue sky and clouds.",dmas_fa000242_d01_cc1024.jpg
FA000244,Fine Art,Oil Painting,,English School,c.1770,,,,English; British,Oil paint on canvas,Whole: 1012 mm x 808 mm,This painting shows a shepherdess in a red dress standing amongst her sheep. In the background is an overgrown classical ruin.,dmas_fa000244_d01_cc1024.jpg
FA000247,Fine Art,Oil Painting,,Chinese School,c1800; Regency,,,,,Oil paint on canvas,Whole: 350 mm x 482 mm,"This painting is a Chinese scene that shows four figures approaching a mansion, a woman is standing on the veranda of the house and another figure stands in the doorway. To the left of the house is a river and bridge with several more houses.",dmas_fa000247_d01_cc1024.jpg
FA000248,Fine Art,Oil Painting,,Chinese School,c1800; Regency,,,,,Oil paint on canvas,Whole: 501 mm x 636 mm,This painting shows four Chinese musicians seated in a house playing different musical instruments.Through the doorway an American flag can be seen flying.,dmas_fa000248_d01_cc1024.jpg
FA000249,Fine Art,Oil Painting,,Chinese School,c1800; Regency,,,,,Oil paint on canvas,Whole: 557 mm x 890 mm,"This painting is of a snow covered landscape, a group of three Chinese men sit around a table with two trapped birds on it. To the left of this group three more figures sit and stand by a tree. On the far right a man and woman stand holding clothes. Snow-capped hills and a fortress can be seen in the distance.",dmas_fa000249_d01_cc1024.jpg
FA000250,Fine Art,Oil Painting,,Chinese School,c1800; Regency,,,,,Oil paint on canvas,Whole: 509 mm x 642 mm,"This Chinese scene shows three women playing cards at a table in a lakeside Pavilion, to the left of them three children play together.",dmas_fa000250_d01_cc1024.jpg
FA000251,Fine Art,Oil Painting,,Chinese School,c1800; Regency,,,,,Oil paint on canvas,Whole: 583 mm x 915 mm,"In this Chinese scene on an outdoor terrace a man and two women sit round a table playing cards. Another woman stands behind the seated man looking at his cards and a child stands by to the right of the seated figures. In the distance beyond the terrace, several rooftops and buildings can be seen against the blue sky.",dmas_fa000251_d01_cc1024.jpg
FA000252,Fine Art,Oil Painting,,Chinese School,c1800; Regency,,,,,Oil paint on canvas,Whole: 559 mm x 913 mm,"This Chinese scene shows five men sitting at a red table that bears plates of food, one man sitting at the front slumps on his chair and appears to be slightly drunk. A woman and a child serve the men and another child appears at the left, entering the dining area. Through a circular window to the left a distant mountain can be seen.",dmas_fa000252_d01_cc1024.jpg
FA000253,Fine Art,Oil Painting,,Chinese School,c1800; Regency,,,,,Oil paint on canvas,Whole: 430 mm x 583 mm,"A Chinese lady and gentleman dressed in long Oriental robes sit at a table on a veranda, both hold teabowls in their hands. To the left of the picture another figure holding a bowl stands outside the veranda looking in.",dmas_fa000253_d01_cc1024.jpg
FA000254,Fine Art,Oil Painting,,Chinese School,c1800; Regency,,,,,Oil paint on canvas,Whole: 503 mm x 634 mm,This scene shows a Chinese family sitting at a table in an alcove; the father and mother with small child sit at a table whilst an older child stands at the table. On the left down some steps another child stands with tray. Through the doorway of the house sky and trees can be seen.,dmas_fa000254_d01_cc1024.jpg
FA000255,Fine Art,Oil Painting,,Chinese School,c1800; Regency,,,,,Oil paint on canvas,Whole: 510 mm x 647 mm,"This Chinese scene shows a man dressed in a long robe sitting on a bed reading. Hanging on the wall behind him is some Chinese scripture and also a picture of trees with Chinese writing. To the left, outside the room stand two women looking in.",dmas_fa000255_d01_cc1024.jpg
FA000258,Fine Art,Oil Painting,,Rosa Bonheur,1875,,,,,Oil paint on canvas,Whole: 217 mm x 164 mm,This painting is of a stag standing in the undergrowth.,dmas_fa000258_d01_cc1024.jpg
FA000268,Fine Art,Oil Painting,,(after) Eugene Louis Boudin,c.1895,,,,,Oil paint on canvas,Whole: 285 mm x 450 mm,"In this painting several beach huts stand on a sandy beach, to the right of them the corner of a house can be seen. In the far left of the painting a man sits down on the sand whilst in the distance there are figures walking on the beach.",dmas_fa000268_d01_cc1024.jpg
FA000282,Fine Art,Oil Painting,,Ethel Louise Rawlins,Early-Mid 20th Century,,,,English; British,Oil paint on canvas,Support: 610 mm x 505 mm,This painting by E L Rawlins shows red and yellow flowers on a windowsill with a picher.,dmas_fa000282_d01_cc1024.jpg
