ID,Category,Object Name,Common Name,Producer,Date Produced,Collector,Place Collected,Date Collected,Culture,Materials,Measurements,Description,Image ref.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valuation Date,Linked Events,Linked Facilities,Linked Media,Linked People,Linked Places,Linked Pubs,Site,Linked Subjects,Linked Taxonomy,Linked Research,Linked Terms,For Web Approval,Published on Web,Image required,Created By,Create Date,Updated By,XG_STATE,Update Date,MKEY
DA301251,Craft,Brooch,,Cicada,1973-1985,,,,English,Plastic and enamel,whole: 90 x 52 x 3 cm,"This brooch, in the form of a butterfly, is cast in polyester resin and enamelled. It was made by Cicada, a Brighton based jewellery company, in the 1970s or 1980s.",dmas_da301251_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,CONVERSION,1/8/02,JENNYHAND,99,13/04/2011,1291
DA301253,Craft,Brooch,,Cicada,1973-1985,,,,,Plastic,whole: 67 x 67 x 8 cm,"This brooch, in the form of a moth. It was made by Cicada, a Brighton based jewellery company, in the 1970s or 1980s.",dmas_da301253_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,CONVERSION,1/8/02,JENNYHAND,99,11/10/10,1293
DA301254,Craft,Brooch,,Cicada,1973-1985,,,,,Plastic,,"This brooch, in the form of a moth. It was made by Cicada, a Brighton based jewellery company, in the 1970s or 1980s.",dmas_da301254_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,CONVERSION,1/8/02,JENNYHAND,99,11/10/10,1294
DA301255,Craft,Brooch,,Cicada,1973-1985,,,,,Plastic,whole: 45 x 100 x 6 mm,"This brooch, in the form of a stork. It was made by Cicada, a Brighton based jewellery company, in the 1970s or 1980s.",dmas_da301255_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,CONVERSION,1/8/02,JENNYHAND,99,11/10/10,1295
DA301256,Craft,Brooch,,Cicada,1973-1985,,,,,Plastic,whole: 65 x 25 x 8 cm,"This brooch, is in the form of a beetle with blue tinted transparent wings . It was made by Cicada, a Brighton based jewellery company, in the 1970s or 1980s.",dmas_da301256_d01g_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,CONVERSION,1/8/02,JENNYHAND,99,11/10/10,1296
DA301257,Craft,Brooch,,Cicada,1973-1985,,,,,Plastic,whole: 45 x 17 x 7 mm,"This brooch, is in the form of a beetle with golden tinted transparent folded wings. It was made by Cicada, a Brighton based jewellery company, in the 1970s or 1980s.",dmas_da301257_d01g_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,CONVERSION,1/8/02,JENNYHAND,99,11/10/10,1297
DA301258,Craft,Brooch,,Cicada,1973-1985,,,,,Plastic,whole: 45 x 17 x 7 mm,"This brooch, is in the form of a beetle with blue and glittered  tinted transparent folded wings. It was made by Cicada, a Brighton based jewellery company, in the 1970s or 1980s.",dmas_da301258_d01g_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,CONVERSION,1/8/02,JENNYHAND,99,11/10/10,1298
DA301259,Craft,Brooch,,Cicada,1973-1985,,,,,Plastic,whole: 30 x 14 x 5 mm,"ThisThis brooch,  is in the form of a beetle with golden tinted transparent folded wings. It was made by Cicada, a Brighton based jewellery company, in the 1970s or 1980s.",dmas_da301259_d01g_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,CONVERSION,1/8/02,HEATHERYORK,99,6/2/12,1299
DA301260,Craft,Dress Clip,,Cicada,1973-1985,,,,,Plastic,whole: 47 x 40 x 6 mm,"A dress clip with stylised insect design. It was made by Cicada, a Brighton based jewellery company, in the 1970s or 1980s.",dmas_da301260_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,CONVERSION,1/8/02,JENNYHAND,99,11/10/10,1300
DA301368,Craft,Bread Basket,,Rebecca de Quin,1999,,,,English,Silver,whole: 105 x 365 x 160 mm,This silver bread basket was designed and made by Rebecca de Quin in 1999. It is used by the museum to illustrate the history of twentieth century design.,dmas_da301368_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,JENNYHAND,21/01/2004,JENNYHAND,99,11/10/10,336918
DA301369,Craft,Fish Slice,,Frances Julie Whitelaw,1998,,,,British,Silver,whole: 60 x 290 x 80 mm,This silver fish slice was designed and made by Frances Julie Whitelaw in 1998. It has an almond-shaped flat slice pierced with 6 eyelets and curved hollow rib-cage handle. The fish slice is used by the museum to illustrate the history of twentieth century design.,dmas_da301369_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,STELLA,19/09/2003,JENNYHAND,99,11/10/10,336077
DA301402,Craft,Cup and Mat,,Fiona Bourke,2000,,,,English,Ceramic (soft-paste porcelain),whole: cup: 75 x 125 x 90 mm  mat: 17 x 155 x 170,"Porcelain cup with tie-on label and porcelain mat, called Marriage. Cup in Victorian style, unglazed, partially patterned and stained brown and damaged, bears paper label printed with image of a couple. Created to look old. Mat moulded as a woven textile.",dmas_da301402_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,STELLA,8/10/03,HEATHERYORK,99,22/03/2012,336170
DA301431,Craft,Vase,,Anna Dickinson; Neil Wilkin; Mehmet Kuzu,1998,,,,English,Glass and copper,whole: 410 x 130 x 130 mm,"This glass vase called Tall Brown Vase, is made from dark brown glass, with cut vertical flutes and an electroformed copper collar. It was designed and made by Anna Dickinson in 1998. 
The vase exemplifies Anna's vision for a monumental piece of blown glass, simply but dramatically decorated. An exceptionally large piece, its shape and the deep vertical grooves carved in its surface suggest the form and gentle entasis of a column supporting the entablature of a classical temple.  It is, as Dan Klein has said of her work, 'a miniature monument'.  The electroformed copper collar around the rim of the vase, subtly patinated in blue, suggests both a find made by a marine archaeologist and a slightly cloudy view of the heavens.  Anna Dickinson's work is steeped in tradition but the subtle attenuation of the proportions of this vase and the restraint apparent in its decoration make it very much a work of today.
The vase is used by the museum to illustrate the history of modern design.",dmas_da301431_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,STELLA,13/10/2003,JENNYHAND,99,11/10/10,336206
DA301432,Craft,Figure Group,,Carole Windham,2000,,,,English,Earthstone clay,whole: 1060 x 650 mm,"This figure group, entitled Bud and Barkage, is hand-built in earthstone clay and decorated with coloured slips, glazes and enamels. It was made by Carole Windham in 2000.",dmas_da301432_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,STELLA,13/10/2003,JENNYHAND,99,11/10/10,336207
DA301466,Craft,Vase,,Grayson Perry,2001,,,,English,Earthenware,whole: 520 x 380 x 380 mm,"This vase, entitled Difficult Background, is hand-built in earthenware, incised, enamelled and lustre-decorated. It was made by Grayson Perry in 2001.",dmas_da301466_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,JENNY,16/10/2003,HEATHERYORK,99,31/10/2011,336413
DA301467,Craft,Vase,,Reginald Wells,c1910,,,,English,Earthenware,whole: 290 x 155 x 155 mm,"This high-fired, earthenware vase with reduced mottled pink glaze over pale blue was designed and made by Reginald Wells at the Coldrum Pottery around 1910. The vase is used to illustrate the history of twentieth century design.",dmas_da301467_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,JENNY,16/10/2003,JENNYHAND,99,11/10/10,336414
DA301480,Craft,Dish,,Sutton Taylor,c1985,,,,English,ceramic earthenware,,"Very large, very thinly potted shallow earthenware dish glaze and lustre decorated with abstract, sea-inspired design.",dmas_da301480_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,JENNY,16/10/2003,CATHERINEENGLISH,99,8/9/10,336428
DA301637,Craft,Vase,,James Tower,1980,,,,English,Earthenware,whole: 510 x 585 mm,"This vase, entitled Sheepfold was hand-built by James Tower in 1980. It is made from tin glazed earthenware.",dmas_da301637_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,STELLA,30/10/2003,JENNYHAND,99,11/10/10,336577
DA301640,Craft,Jug,,Richard Slee,1994,,,,English,Earthenware,whole: 400 x 335 x 210 mm,"This large jug, entitled Rucksack Toby, is hand-built in earthenware with coloured enamels. It was made by Richard Slee in 1994.",dmas_da301640_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,STELLA,30/10/2003,KATIEHOBBS,99,23/12/2011,336580
DA301641,Craft,Vase,,Lucie Rie,Mid 20th Century,,,,Austrian,Stoneware,whole: 280 x 150 mm,"This stoneware vase, decorated with coloured spirals within clay, was handmade by Lucie Rie in 1975.",dmas_da301641_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,STELLA,31/10/2003,HEATHERYORK,99,22/03/2012,336582

,,,,,,,,,,,,,,Dataset info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Craft collections from the Royal Pavilion and Museums, Brighton & Hove",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Published illustrated data set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Data released under a Creative Commons CC0 licence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Release 1.0 18/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Image refs refer to files in: rpm_craft_img_rel1_0_180712.zip http://www.images.brighton-hove-rpml.org.uk/assetbank-pavilion/action/browseItems?categoryId=1304&categoryTypeId=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
