ID,Category,Object Name,Common Name,Producer,Date Produced,Collector,Place Collected,Date Collected,Culture,Materials,Measurements,Description,Image ref.
BCMAS000019,Natural Sciences,Panurus biarmicus,Case of Bearded Tits,,,Edward Thomas Booth,"Heigham Sounds, Norfolk, England, United Kingdom, Europe",Collected 1870-05,,,Whole: 710 mm x 1050 mm,"This case of six mounted Bearded Tits shows an adult male and female, and four immature specimens. in a setting which is a recreation of their natural habitat. The birds were collected by Edward Thomas Booth on Heigham Sounds, Norfolk, in May 1870 and are illustrated in his {i}Rough Notes{/i}, (London, R.H. Porter and Dulau & Co., 1881-1887, vol. 1, plate 23).",dmas_bcmas000019_d01_cc1024.jpg
BCMAS000020,Natural Sciences,Luscinia megarhynchos,Case of Nightingales (Autumn),,,Edward Thomas Booth,"Haywards Heath, West Sussex, England, United Kingdom, Europe",Collected 1874-07,,,Whole: 710 mm x 1050 mm,"This case of three mounted immature Nightingales shows the specimens in their Autumn nesting plumage in a setting which is a recreation of their natural habitat. 
They were collected near Haywards Heath, East Sussex in July, 1874 by Edward Thomas Booth.",dmas_bcmas000020_d01_cc1024.jpg
BCMAS000021,Natural Sciences,Lanius collurio,Case of Red-backed Shrike,,,Edward Thomas Booth,"England, United Kingdom, Europe",Collected 1869,,,Whole: 710 mm x 1050 mm,"This case of five mounted Red-backed Shrike shows the specimens in a setting which is a recreation of their natural habitat. 
The adult male was shot in Sussex in May 1869 during which the plumage of this bird is at its most perfect. The adult female and her three young were shot in Potter Heigham, Norfolk in July of the same year. All the birds in this case were collected by Edward Thomas Booth in 1869.",dmas_bcmas000021_d01_cc1024.jpg
BCMAS000022,Natural Sciences,Cinclus cinclus,Case of Dippers,,,Edward Thomas Booth,"Lyon River, Perthshire, Scotland, United Kingdom, Europe",Collected 1865-11,,,Whole: 710 mm x 1050 mm,"This case of two mounted Dippers shows the specimens in a setting that is a recreation of their natural habitat. 
Both specimens were collected by Edward Thomas Booth on the river Lyon in Perthshire, November 1865.",dmas_bcmas000022_d01_cc1024.jpg
BCMAS000023,Natural Sciences,Luscinia megarhynchos,Case of Nightingales and Nest,,,Edward Thomas Booth,"Plumpton, East Sussex, England, United Kingdom, Europe",Collected 1866-05,,,Whole: 710 mm x 1050 mm,"This is a case of two mounted adult Nightingales and nest that shows the specimens in a setting that recreates their natural habitat. 
The birds were collected by Edward Thomas Booth near Plumpton, East Sussex in April 1866.",dmas_bcmas000023_d01_cc1024.jpg
BCMAS000024,Natural Sciences,Calidris alba,Case of Sanderlings,,,Edward Thomas Booth,"Between Rye Harbour and Dungeoness Point, East Sussex, England, United Kingdom, Europe",Collected 1866-03,,,,"This case containing one mounted Sanderling (winter plumage) shows the specimen in a setting that is a recreation of its natural habitat.
The bird was collected by Edward Thomas Booth between Rye Harbour and Dungeoness Point, Sussex, in March 1866.",dmas_bcmas000024_d01_cc1024.jpg
BCMAS000201,Natural Sciences,Buteo buteo,Case of Common Buzzards,,,Edward Thomas Booth,"Glenlyon, Perthshire, Scotland, United Kingdom, Europe",Collected 1865-09,,,,"This case of two mounted Buzzards shows the specimens in a setting that is a recreation of their natural surroundings.
The birds were collected by Edward Thomas Booth in Glenlyon, Scotland, in September, 1865. They are illustrated in his {i}Rough Notes{/i} (London, R.H. Porter and Dulau & Co., 1881-1887, vol. 1., Plate 7).",dmas_bcmas000201_d02_cc1024.jpg
BCMAS000213,Natural Sciences,Saxicola rubetra,Case of Whinchats,,,Edward Thomas Booth,"Potter Heigham, Norfolk, England, United Kingdom, Europe",Collected 1870-07,,,,"This case of six mounted Whinchats shows the specimens in a setting that is a recreation of their natural surroundings.
The birds in the case (with the exception of the male, who was shot earlier in the season) were obtained by Edward Thomas Booth at Potter Heigham, in Norfolk, in July, 1870.",dmas_bcmas000213_d01_cc1024.jpg
BCMAS000272,Natural Sciences,Riparia riparia,Case of Sand Martins,,,Edward Thomas Booth,"Shoreham-by-Sea, West Sussex, England, United Kingdom, Europe",September 1875,,,,"This case of eleven mounted Sand Martins shows the specimens in a setting that is a recreation of their natural surroundings.
The birds were obtained by Edward Thomas Booth near Shoreham, in Sussex, in September, 1875.",dmas_bcmas000272_d01_cc1024.jpg
BCMAS000275,Natural Sciences,Delichon urbica,Case of House Martins,,,Edward Thomas Booth,"Cromarty Rocks, Ross and Cromarty, Scotland, United Kingdom, Europe",July 1869,,,,"This case of two mounted House Martins shows the specimens in a setting that is a recreation of their natural surroundings.
The birds were collected by Edward Thomas Booth together with their nest, at the Cromarty Rocks, Scotland, in July, 1869.",dmas_bcmas000275_d01_cc1024.jpg
BCMAS000276,Natural Sciences,Vanellus vanellus,Case of Lapwings,,,Edward Thomas Booth,"Gullane Links, East Lothian, Scotland, United Kingdom, Europe",MAy 1867,,,,"This case containing six mounted Lapwings shows the specimens in a setting that is a recreation of their natural surroundings.
The birds were obtained by Edward Thomas Booth in East Lothian, Scotland in May, 1867.",dmas_bcmas000276_d01_cc1024.jpg
BCMAS000279,Natural Sciences,Anthus pratensis,Case of Meadow Pipits,,,Edward Thomas Booth,"Coast between Shoreham and Worthing, West Sussex, England, United Kingdom, Europe",June 1874,,,,"This case of six mounted Meadow Pipits shows the specimens in a setting that is a recreation of their natural surroundings.The birds, were collected by Edward Thomas Booth between Shoreham and Worthing, on the coast of Sussex, in June, 1874.",dmas_bcmas000279_d01_cc1024.jpg
BCMAS000290,Natural Sciences,Calidris canutus,Case of Knots,,,Edward Thomas Booth,"Breydon Mudflats, Norfolk, England, United Kingdom, Europe",August 1872,,,,"This case of six mounted Knots shows the specimens in a setting that is a recreation of their natural surroundings.
The birds were collected by Edward Thomas Booth in Breydon, Norfolk, in August 1872.",dmas_bcmas000290_d01_cc1024.jpg
BCMAS000291,Natural Sciences,Calidris alba,Case of Sanderlings,,,Edward Thomas Booth,"Kent Coast, Kent, England, United Kingdom, Europe",September 1869,,,,"This case of five mounted Sanderlings shows the specimens in a setting that is a recreation of their natural surroundings.
The birds were collected by Edward Thomas Booth on the Kentish coast, in September 1869.",dmas_bcmas000291_d01_cc1024.jpg
BCMAS000295,Natural Sciences,Limosa lapponica,Case of Bar-tailed Godwits,,,Edward Thomas Booth,"Ebris Island, East Lothian, Scotland, United Kingdom, Europe",September 1874,,,,"This case of six mounted Bar-tailed Godwits shows the specimens in a setting that is a recreation of their natural surroundings.
The birds were collected by Edward Thomas Booth in the Firth of Forth, Scotland, in September 1874.",dmas_bcmas000295_d01_cc1024.jpg
BCMAS000310,Natural Sciences,Turdus philomelos,Case of Song Thrushes,,,Edward Thomas Booth,"Portslade, Brighton & Hove, East Sussex, England, United Kingdom, Europe",May 1874,,,,"This case of six mounted Thrushes shows the specimens in a setting that is a recreation of their natural surroundings.
The birds were collected by Edward Thomas Booth in Portslade, Sussex, in May 1874.",dmas_bcmas000310_d01_cc1024.jpg
BCMAS000329,Natural Sciences,Calidris canutus,Case of Knots,,,Edward Thomas Booth,"Breydon Mudflats, Norfolk, England, United Kingdom, Europe",Collected 1871-1872,,,,"This case of seven mounted Knots shows the specimens in a setting that is a recreation of their natural surroundings.
The birds were collected by Edward Thomas Booth in Breydon, Norfolk, two in May 1871 and the remainder in May 1872. They are mentioned in his {i}Rough Notes{/i} (London, R.H. Porter and Dulau & Co., 1881-1887, Vol. 2, Plate 27).",dmas_bcmas000329_d01_cc1024.jpg
BCMAS000330,Natural Sciences,Limosa lapponica,Case of Bar-tailed Godwits,,,Edward Thomas Booth,"Breydon Mudflats, Norfolk, England, United Kingdom, Europe",May 1873,,,,"This case of four mounted Bar-tailed Godwits shows the specimens in a setting that is a recreation of their natural surroundings.
The birds were collected by Edward Thomas Booth in Breydon Mudflats, Norfolk, in May, 1873.",dmas_bcmas000330_d01_cc1024.jpg,
BCMAS000331,Natural Sciences,Limosa lapponica,Case of Bar-tailed Godwits,,,Edward Thomas Booth,"Breydon Mudflats, Norfolk, England, United Kingdom, Europe",12 May 1871,,,,This case of six mounted Bar-tailed Godwits shows the specimens in a setting that is a recreation of their natural surroundings.,dmas_bcmas000331_d01_cc1024.jpg,
BCMAS000332,Natural Sciences,Calidris canutus,Case of Knots,,,Edward Thomas Booth,"Little Ferry, Sunderland, Tyne & Wear, England, United Kingdom, Europe",March 1869,,,,"This case of seven mounted Knots shows the specimens in a setting that is a recreation of their natural surroundings.
The birds were collected by Edward Thomas Booth in Sutherland, Scotland, in March, 1869.",dmas_bcmas000332_d01_cc1024.jpg,
BCMAS000341,Natural Sciences,Turdus merula,Case of Blackbirds,,,Edward Thomas Booth,"Brighton, Brighton & Hove, East Sussex, England, United Kingdom, Europe",Collected 1875,,,,"This case of two mounted Blackbirds shows the specimens in a setting that is a recreation of their natural surroundings.
The birds were collected by Edward Thomas Booth in Brighton, East Sussex, in the spring of 1875.",dmas_bcmas000341_d01_cc1024.jpg,
BCMAS000345,Natural Sciences,Charadrius hiaticula,Case of Ringed Plovers,,,Edward Thomas Booth,"Near Rye, East Sussex, England, United Kingdom, Europe",Collected 1862,,,,"This case of six mounted Ringed Plovers shows the specimens in a setting that is a recreation of their natural surroundings.
The birds were collected by Edward Thomas Booth Rye, East Sussex, in the summer of 1862.",dmas_bcmas000345_d01_cc1024.jpg,
BCMAS000346,Natural Sciences,Charadrius hiaticula,Case of Ringed Plovers,,,Edward Thomas Booth,"Coast between Shoreham and Worthing, West Sussex, England, United Kingdom, Europe",September 1870,,,,"This case of four mounted Ringed Plovers shows the specimens in a setting that is a recreation of their natural surroundings.
The birds were collected by Edward Thomas Booth in Rye, East Sussex, in the summer of 1862.",dmas_bcmas000346_d01_cc1024.jpg,
BCMAS000388,Natural Sciences,Calidris ferruginea,Case of Curlew Sandpipers,,,Edward Thomas Booth,"Breydon Mudflats, Norfolk, England, United Kingdom, Europe",May 1871,,,,"This case of four mounted Curlew Sandpipers shows the specimens in a setting that is a recreation of their natural surroundings.
The birds were collected by Edward Thomas Booth on Breydon Mudflats, Norfolk, in May, 1871. They are mentioned in his {i}Rough Notes{/i} (London, R.H. Porter and Dulau & Co., 1881-1887, Vol. 2., Plate 26).",dmas_bcmas000388_d01_cc1024.jpg,
BCMAS000420,Natural Sciences,Alle alle,Case of Little Auks,,,C C Stehne; M J Wykeham-Martin; Brock,"United Kingdom, Europee",19-Apr-00,,,,"This case of five mounted Little Auks shows the specimens in a setting that is a recreation of their natural surroundings.
One bird was collected in Shoreham, Sussex, in March,1900, by the son-in-law of a man named S. Maple. Maple sent it to Mr. C. C. Stehn, and on his death it was given to the Museum by his brother and sister. Another was collected at Goodwood, Surrey, in December, 1917, and given to the Museum by the head gardener, Mr. Brock.
The bird high up on the right of the case was bequeathed to the Museum by Malcolm J Wykeham Martin. The remaining birds were purchased by the Museum, originally having been collected in January 1895 in Orkney, Scotland.",dmas_bcmas000420_d01_cc1024.jpg,

,,,,,,,,,,,,,,Dataset info
,,,,,,,,,,,,,,"Natural Science collections from the Royal Pavilion and Museums, Brighton & Hove"
,,,,,,,,,,,,,,Published illustrated data set
,,,,,,,,,,,,,,Data released under a Creative Commons CC0 licence
,,,,,,,,,,,,,,Release 1.0 19/07/2012
,,,,,,,,,,,,,,Image refs refer to files in: rpm_natsci_img_rel1_0_190712.zip http://www.images.brighton-hove-rpml.org.uk/assetbank-pavilion/action/browseItems?categoryId=1304&categoryTypeId=1
