ID,Artist,Name Modifier,First Name,Last Name,Full Name,Hammer price,Price Bracket (millions),Average Price,Given Artwork Title,Scrubbed Artwork Title,Date Created,Sale Info,Day,Month,Date Sold,Auction House,City,location,Citation
43,RICHTER Gerhard,,Gerhard,Richter,Gerhard Richter,"$16,000,000.00 ",10-20,"$17,743,723.03 ",Gudrun (1987),Gudrun,1987,09 november (Sotheby's NY),09,November,2011,(Sotheby's NY),New York,"40.712592, -74.006542","Gerhard Richter, Gudrun (1987), sold at (Sotheby's NY) for $16000000"
44,WARHOL Andy,,Andy,Warhol,Andy Warhol,"$15,440,640.00 ",10-20,"$17,743,723.03 ",Self-Portrait (1967),Self-Portrait,1967,16 february (Christie's LONDON),16,February,2011,(Christie's LONDON),London,"51.498382, -0.126210","Andy Warhol, Self-Portrait (1967), sold at (Christie's LONDON) for $15440640"
45,WU Guanzhong,,Guanzhong,Wu,Guanzhong Wu,"$15,440,000.00 ",10-20,"$17,743,723.03 ",Lion Woods (1988),Lion Woods,1988,03 june (Poly International BEIJING),03,June,2011,(Poly International BEIJING),Beijing,"39.907288, 116.399519","Guanzhong Wu, Lion Woods (1988), sold at (Poly International BEIJING) for $15440000"
46,GIACOMETTI Alberto,,Alberto,Giacometti,Alberto Giacometti,"$15,408,050.00 ",10-20,"$17,743,723.03 ",Trois hommes qui marchent II (1948),Trois hommes qui marchent II,1948,22 june (Sotheby's LONDON),22,June,2011,(Sotheby's LONDON),London,"51.498382, -0.126210","Alberto Giacometti, Trois hommes qui marchent II (1948), sold at (Sotheby's LONDON) for $15408050"
47,PICASSO Pablo,,Pablo,Picasso,Pablo Picasso,"$15,361,500.00 ",10-20,"$17,743,723.03 ",Buste de Françoise (1946),Buste de Françoise,1946,21 june (Christie's LONDON),21,June,2011,(Christie's LONDON),London,"51.498382, -0.126210","Pablo Picasso, Buste de Françoise (1946), sold at (Christie's LONDON) for $15361500"
48,KOONS Jeff,,Jeff,Koons,Jeff Koons,"$15,000,000.00 ",10-20,"$17,743,723.03 ",Pink panther (1988),Pink panther,1988,10 may (Sotheby's NY),10,May,2011,(Sotheby's NY),New York,"22.283970, 114.160031","Jeff Koons, Pink panther (1988), sold at (Sotheby's NY) for $15000000"
49,TIZIANO VECELLIO,,Vecellio,Tiziano,Vecellio Tiziano,"$15,000,000.00 ",10-20,"$17,743,723.03 ",A Sacra Conversazione: the Madonna and Child [...] (1560),A Sacra Conversazione: the Madonna and Child [...],1560,27 january (Sotheby's NY),27,January,2011,(Sotheby's NY),New York,"40.712592, -74.006542","Vecellio Tiziano, A Sacra Conversazione: the Madonna and Child [...] (1560), sold at (Sotheby's NY) for $15000000"
50,SAN Yu,,Yu,San,Yu San,"$14,726,560.00 ",10-20,"$17,743,723.03 ",Five Nudes (1950),Five Nudes,1950,30 may (Ravenel Art Group HK),30,May,2011,(Ravenel Art Group HK),Hong Kong,"22.283970, 114.160031","Yu San, Five Nudes (1950), sold at (Ravenel Art Group HK) for $14726560"
51,SU Shi,,Shi,Su,Shi Su,"$14,677,500.00 ",10-20,"$17,743,723.03 ",Bamboo and Stone,Bamboo and Stone,n/a,16 june (Beijing Highest BEIJING),16,June,2011,(Beijing Highest BEIJING),Beijing,"39.907288, 116.399519","Shi Su, Bamboo and Stone (n/a), sold at (Beijing Highest BEIJING) for $14677500"
52,RICHTER Gerhard,,Gerhard,Richter,Gerhard Richter,"$14,630,760.00 ",10-20,"$17,743,723.03 ",Kerze (Candle) (1982),Kerze (Candle),1982,14 october (Christie's LONDON),14,October,2011,(Christie's LONDON),London,"51.498382, -0.126210","Gerhard Richter, Kerze (Candle) (1982), sold at (Christie's LONDON) for $14630760"
53,ERNST Max,,Max,Ernst,Max Ernst,"$14,500,000.00 ",10-20,"$17,743,723.03 ",The Stolen Mirror (1941),The Stolen Mirror,1941,01 november (Christie's NY),01,November,2011,(Christie's NY),New York,"40.712592, -74.006542","Max Ernst, The Stolen Mirror (1941), sold at (Christie's NY) for $14500000"
54,WARHOL Andy,,Andy,Warhol,Andy Warhol,"$14,500,000.00 ",10-20,"$17,743,723.03 ",Silver Liz (1963),Silver Liz,1963,08 november (Christie's NY),08,November,2011,(Christie's NY),New York,"40.712592, -74.006542","Andy Warhol, Silver Liz (1963), sold at (Christie's NY) for $14500000"
55,CUI Ruzhuo,,Ruzhuo,Cui,Ruzhuo Cui,"$14,113,000.00 ",10-20,"$17,743,723.03 ",Lotus (2011),Lotus,2011,29 november (Christie's HK),29,November,2011,(Christie's HK),Hong Kong,"22.283970, 114.160031","Ruzhuo Cui, Lotus (2011), sold at (Christie's HK) for $14113000"
56,MATISSE Henri,,Henri,Matisse,Henri Matisse,"$14,000,000.00 ",10-20,"$17,743,723.03 ",La fenêtre ouverte (1911),La fenêtre ouverte,1911,04 may (Christie's NY),04,May,2011,(Christie's NY),New York,"40.712592, -74.006542","Henri Matisse, La fenêtre ouverte (1911), sold at (Christie's NY) for $14000000"
57,WU Hufan,,Hufan,Wu,Hufan Wu,"$13,553,600.00 ",10-20,"$17,743,723.03 ",Landscape (1954),Landscape,1954,17 november (Beijing Hanhai Art BEIJING),17,November,2011,(Beijing Hanhai Art BEIJING),Beijing,"39.907288, 116.399519","Hufan Wu, Landscape (1954), sold at (Beijing Hanhai Art BEIJING) for $13553600"
58,TWOMBLY Cy,,Cy,Twombly,Cy Twombly,"$13,500,000.00 ",10-20,"$17,743,723.03 ",Unititled (1967),Unititled,1967,11 may (Christie's NY),11,May,2011,(Christie's NY),New York,"51.498382, -0.126210","Cy Twombly, Unititled (1967), sold at (Christie's NY) for $13500000"
59,BRANCUSI Constantin,,Constantin,Brancusi,Constantin Brancusi,"$13,200,000.00 ",10-20,"$17,743,723.03 ",Le premier cri (1917),Le premier cri,1917,01 november (Christie's NY),01,November,2011,(Christie's NY),New York,"40.712592, -74.006542","Constantin Brancusi, Le premier cri (1917), sold at (Christie's NY) for $13200000"
60,HONG Yi,,Yi,Hong,Yi Hong,"$13,115,500.00 ",10-20,"$17,743,723.03 ",Figure (1939),Figure,1939,09 june (Beijing Jiuge International),09,June,2011,(Beijing Jiuge International),Beijing,"39.907288, 116.399519","Yi Hong, Figure (1939), sold at (Beijing Jiuge International) for $13115500"
61,QI Baishi,,Baishi,Qi,Baishi Qi,"$12,765,600.00 ",10-20,"$17,743,723.03 ",Banana trees (1933),Banana trees,1933,17 november (Beijing Hanhai Art BEIJING),17,November,2011,(Beijing Hanhai Art BEIJING),Beijing,"39.907288, 116.399519","Baishi Qi, Banana trees (1933), sold at (Beijing Hanhai Art BEIJING) for $12765600"
62,RICHTER Gerhard,,Gerhard,Richter,Gerhard Richter,"$12,500,000.00 ",10-20,"$17,743,723.03 ",Abstraktes Bild (1992),Abstraktes Bild,1992,09 november (Sotheby's NY),09,November,2011,(Sotheby's NY),New York,"40.712592, -74.006542","Gerhard Richter, Abstraktes Bild (1992), sold at (Sotheby's NY) for $12500000"
63,QI Baishi,,Baishi,Qi,Baishi Qi,"$12,368,000.00 ",10-20,"$17,743,723.03 ",Flowers and birds,Flowers and birds,n/a,22 may (China Guardian BEIJING),22,May,2011,(China Guardian BEIJING),Beijing,"39.907288, 116.399519","Baishi Qi, Flowers and birds (n/a), sold at (China Guardian BEIJING) for $12368000"
64,BACON Francis,,Francis,Bacon,Francis Bacon,"$11,825,940.00 ",10-20,"$17,743,723.03 ",Crouching Nude (1961),Crouching Nude,1961,29 june (Sotheby's LONDON),29,June,2011,(Sotheby's LONDON),London,"40.712592, -74.006542","Francis Bacon, Crouching Nude (1961), sold at (Sotheby's LONDON) for $11825940"
65,FU Baoshi,,Baoshi,Fu,Baoshi Fu,"$11,412,000.00 ",10-20,"$17,743,723.03 ",Song of a pipa player (1945),Song of a pipa player,1945,13 november (China Guardian BEIJING),13,November,2011,(China Guardian BEIJING),Beijing,"39.907288, 116.399519","Baoshi Fu, Song of a pipa player (1945), sold at (China Guardian BEIJING) for $11412000"
66,CHEN Yifei,,Yifei,Chen,Yifei Chen,"$10,934,000.00 ",10-20,"$17,743,723.03 ",Wind of Mountain Village (1994),Wind of Mountain Village,1994,24 may (China Guardian BEIJING),24,May,2011,(China Guardian BEIJING),Beijing,"39.907288, 116.399519","Yifei Chen, Wind of Mountain Village (1994), sold at (China Guardian BEIJING) for $10934000"
67,BONNARD Pierre,,Pierre,Bonnard,Pierre Bonnard,"$10,318,080.00 ",10-20,"$17,743,723.03 ",Terrasse á Vernon (1923),Terrasse á Vernon,1923,09 february (Christie's LONDON),09,February,2011,(Christie's LONDON),London,"51.498382, -0.126210","Pierre Bonnard, Terrasse á Vernon (1923), sold at (Christie's LONDON) for $10318080"
68,RICHTER Gerhard,,Gerhard,Richter,Gerhard Richter,"$10,257,920.00 ",10-20,"$17,743,723.03 ",Abstraktes Bild (1990),Abstraktes Bild,1990,15 february (Sotheby's LONDON),15,February,2011,(Sotheby's LONDON),London,"51.498382, -0.126210","Gerhard Richter, Abstraktes Bild (1990), sold at (Sotheby's LONDON) for $10257920"
69,WU Guanzhong,,Guanzhong,Wu,Guanzhong Wu,"$10,244,000.00 ",10-20,"$17,743,723.03 ",Former residence of Qiu Jin (2002),Former residence of Qiu Jin,2002,03 december (Poly International BEIJING),03,December,2011,(Poly International BEIJING),Beijing,"39.907288, 116.399519","Guanzhong Wu, Former residence of Qiu Jin (2002), sold at (Poly International BEIJING) for $10244000"
70,ZHU Da,,Da,Zhu,Da Zhu,"$10,055,500.00 ",10-20,"$17,743,723.03 ",Lotus (1699),Lotus,1699,21 june (Beijing Chieftown BEIJING),21,June,2011,(Beijing Chieftown BEIJING),Beijing,"39.907288, 116.399519","Da Zhu, Lotus (1699), sold at (Beijing Chieftown BEIJING) for $10055500"
71,GAUGUIN Paul,,Paul,Gauguin,Paul Gauguin,"$10,000,000.00 ",8-10,"$17,743,723.03 ",Jeune tahitienne (1893),Jeune tahitienne,1893,03 may (Sotheby's NY),03,May,2011,(Sotheby's NY),New York,"40.712592, -74.006542","Paul Gauguin, Jeune tahitienne (1893), sold at (Sotheby's NY) for $10000000"
72,JAWLENSKY Alexej von,,Alexej Von,Jawlensky,Alexej Von Jawlensky,"$10,000,000.00 ",8-10,"$17,743,723.03 ",Frau mit grünem fächer (1912),Frau mit grünem fächer,1912,03 may (Sotheby's NY),03,May,2011,(Sotheby's NY),New York,"40.712592, -74.006542","Alexej Von Jawlensky, Frau mit grünem fächer (1912), sold at (Sotheby's NY) for $10000000"
73,WARHOL Andy,,Andy,Warhol,Andy Warhol,"$9,895,200.00 ",8-10,"$17,743,723.03 ",Mao (1973),Mao,1973,28 june (Christie's LONDON),28,June,2011,(Christie's LONDON),London,"51.498382, -0.126210","Andy Warhol, Mao (1973), sold at (Christie's LONDON) for $9895200"
74,BRUEGHEL Pieter,The Younger,Pieter,Brueghel The Younger,Pieter Brueghel The Younger,"$9,517,830.00 ",8-10,"$17,743,723.03 ",The Battle between Carnival and Lent (1559),The Battle between Carnival and Lent,1559,06 december (Christie's LONDON),06,December,2011,(Christie's LONDON),London,"51.498382, -0.126210","Pieter Brueghel The Younger, The Battle between Carnival and Lent (1559), sold at (Christie's LONDON) for $9517830"
75,BOURGEOIS Louise,,Louise,Bourgeois,Louise Bourgeois,"$9,500,000.00 ",8-10,"$17,743,723.03 ",Spider (1996),Spider,1996,08 november (Christie's NY),08,November,2011,(Christie's NY),New York,"40.712592, -74.006542","Louise Bourgeois, Spider (1996), sold at (Christie's NY) for $9500000"
76,ZHANG Daqian,,Daqian,Zhang,Daqian Zhang,"$9,412,300.00 ",8-10,"$17,743,723.03 ",Flowers (1944),Flowers,1944,09 june (Beijing Jiuge International),09,June,2011,(Beijing Jiuge International),Beijing,"39.907288, 116.399519","Daqian Zhang, Flowers (1944), sold at (Beijing Jiuge International) for $9412300"
77,PICASSO Pablo,,Pablo,Picasso,Pablo Picasso,"$9,407,020.00 ",8-10,"$17,743,723.03 ","Couple, le baiser (1969)","Couple, le baiser",1969,22 june (Sotheby's LONDON),22,June,2011,(Sotheby's LONDON),London,"51.498382, -0.126210","Pablo Picasso, Couple, le baiser (1969), sold at (Sotheby's LONDON) for $9407020"
