ID,accession_number,artist,artistRole,artistId,title,dateText,medium,creditLine,year,acquisitionYear,dimensions,width,height,depth,units,inscription,thumbnailCopyright,thumbnailUrl,url
33833,D06442,"Turner, Joseph Mallord William",artist,558,Blank,c.1806-8,,Accepted by the nation as part of the Turner Bequest 1856,1806,1856,support: 115 x 190 mm,115,190,,mm,,,,http://www.tate.org.uk/art/artworks/turner-blank-d06442
33876,D06485,"Turner, Joseph Mallord William",artist,558,Cobham Hall,c.1805-9,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1805,1856,support: 115 x 190 mm,115,190,,mm,,,http://www.tate.org.uk/art/images/work/D/D06/D06485_8.jpg,http://www.tate.org.uk/art/artworks/turner-cobham-hall-d06485
34058,D06667,"Turner, Joseph Mallord William",artist,558,Blank,c.1806-8,,Accepted by the nation as part of the Turner Bequest 1856,1806,1856,support: 107 x 180 mm,107,180,,mm,,,,http://www.tate.org.uk/art/artworks/turner-blank-d06667
34482,D07092,"Turner, Joseph Mallord William",artist,558,Waterloo Bridge and Somerset House,c.1825,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1825,1856,support: 108 x 185 mm,108,185,,mm,,,http://www.tate.org.uk/art/images/work/D/D07/D07092_8.jpg,http://www.tate.org.uk/art/artworks/turner-waterloo-bridge-and-somerset-house-d07092
35371,D07982,"Turner, Joseph Mallord William",artist,558,Blank,c.1810,,Accepted by the nation as part of the Turner Bequest 1856,1810,1856,support: 87 x 113 mm,87,113,,mm,,,,http://www.tate.org.uk/art/artworks/turner-blank-d07982
35499,D08110,"Turner, Joseph Mallord William",artist,558,Basle,circa 1806-7,Etching and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1806,1856,support: 185 x 255 mm,185,255,,mm,,,http://www.tate.org.uk/art/images/work/D/D08/D08110_8.jpg,http://www.tate.org.uk/art/artworks/turner-basle-d08110
36219,D08834,"Turner, Joseph Mallord William",artist,558,Dorchester from the Frome Valley,1811,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1811,1856,support: 170 x 209 mm,170,209,,mm,,,http://www.tate.org.uk/art/images/work/D/D08/D08834_8.jpg,http://www.tate.org.uk/art/artworks/turner-dorchester-from-the-frome-valley-d08834
36307,D08926,"Turner, Joseph Mallord William",artist,558,?Buildings at Marazion or on St Michael’s Mount,1811,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1811,1856,support: 166 x 208 mm,166,208,,mm,,,http://www.tate.org.uk/art/images/work/D/D08/D08926_8.jpg,http://www.tate.org.uk/art/artworks/turner-buildings-at-marazion-or-on-st-michaels-mount-d08926
36578,D09199,"Turner, Joseph Mallord William",artist,558,Blank,c.1810-12,,Accepted by the nation as part of the Turner Bequest 1856,1810,1856,support: 110 x 178 mm,110,178,,mm,,,,http://www.tate.org.uk/art/artworks/turner-blank-d09199
36878,D09499,"Turner, Joseph Mallord William",artist,558,"A Wooded Valley, Probably in Devon",1814,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1814,1856,support: 90 x 152 mm,90,152,,mm,,,http://www.tate.org.uk/art/images/work/D/D09/D09499_8.jpg,http://www.tate.org.uk/art/artworks/turner-a-wooded-valley-probably-in-devon-d09499
36946,D09567,"Turner, Joseph Mallord William",artist,558,Great Torrington from the Torridge Valley,1814,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1814,1856,support: 90 x 152 mm,90,152,,mm,,,http://www.tate.org.uk/art/images/work/D/D09/D09567_8.jpg,http://www.tate.org.uk/art/artworks/turner-great-torrington-from-the-torridge-valley-d09567
37600,D10223,"Turner, Joseph Mallord William",artist,558,Blank,c.1810-16,,Accepted by the nation as part of the Turner Bequest 1856,1810,1856,support: 181 x 228 mm,181,228,,mm,,,,http://www.tate.org.uk/art/artworks/turner-blank-d10223
37843,D10467,"Turner, Joseph Mallord William",artist,558,Windsor Castle from the North-East,c.1816-19,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1816,1856,support: 155 x 95 mm,155,95,,mm,,,http://www.tate.org.uk/art/images/work/D/D10/D10467_8.jpg,http://www.tate.org.uk/art/artworks/turner-windsor-castle-from-the-north-east-d10467
38042,D10667,"Turner, Joseph Mallord William",artist,558,A Conversation Group,c.1817,,Accepted by the nation as part of the Turner Bequest 1856,1817,1856,support: 160 x 112 mm,160,112,,mm,,,http://www.tate.org.uk/art/images/work/D/D10/D10667_8.jpg,http://www.tate.org.uk/art/artworks/turner-a-conversation-group-d10667
38051,D10676,"Turner, Joseph Mallord William",artist,558,River Scene,c.1815-17,,Accepted by the nation as part of the Turner Bequest 1856,1815,1856,support: 160 x 112 mm,160,112,,mm,,,http://www.tate.org.uk/art/images/work/D/D10/D10676_8.jpg,http://www.tate.org.uk/art/artworks/turner-river-scene-d10676
38123,D10748,"Turner, Joseph Mallord William",artist,558,[blank],c.1815-17,,Accepted by the nation as part of the Turner Bequest 1856,1815,1856,support: 160 x 112 mm,160,112,,mm,,,,http://www.tate.org.uk/art/artworks/turner-blank-d10748
38862,D11488,"Turner, Joseph Mallord William",artist,558,Brignall Church on the Banks of the River Greta,1816,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1816,1856,support: 125 x 206 mm,125,206,,mm,,,http://www.tate.org.uk/art/images/work/D/D11/D11488_8.jpg,http://www.tate.org.uk/art/artworks/turner-brignall-church-on-the-banks-of-the-river-greta-d11488
39308,D11939,"Turner, Joseph Mallord William",artist,558,Ships,c.1816-18,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1816,1856,support: 117 x 180 mm,117,180,,mm,,,http://www.tate.org.uk/art/images/work/D/D11/D11939_8.jpg,http://www.tate.org.uk/art/artworks/turner-ships-d11939
39531,D12162,"Turner, Joseph Mallord William",artist,558,Inscription by Turner: A Draft List of ‘Liber Studiorum’ EP Subjects,c.1808-18,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1808,1856,support: 112 x 89 mm,112,89,,mm,,,http://www.tate.org.uk/art/images/work/D/D12/D12162_8.jpg,http://www.tate.org.uk/art/artworks/turner-inscription-by-turner-a-draft-list-of-liber-studiorum-ep-subjects-d12162
39934,D12566,"Turner, Joseph Mallord William",artist,558,[inscriptions by Turner],1817,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1817,1856,support: 56 x 106 mm,56,106,,mm,,,http://www.tate.org.uk/art/images/work/D/D12/D12566_8.jpg,http://www.tate.org.uk/art/artworks/turner-inscriptions-by-turner-d12566
39936,D12568,"Turner, Joseph Mallord William",artist,558,Four Sketches near the Godesburg,1817,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1817,1856,support: 56 x 106 mm,56,106,,mm,,,http://www.tate.org.uk/art/images/work/D/D12/D12568_8.jpg,http://www.tate.org.uk/art/artworks/turner-four-sketches-near-the-godesburg-d12568
39952,D12584,"Turner, Joseph Mallord William",artist,558,"Men and Women Carrying Casks and Baskets; Studies of Bottles, Etc.",1817,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1817,1856,support: 56 x 106 mm,56,106,,mm,,,http://www.tate.org.uk/art/images/work/D/D12/D12584_8.jpg,http://www.tate.org.uk/art/artworks/turner-men-and-women-carrying-casks-and-baskets-studies-of-bottles-etc-d12584
40849,D13481,"Turner, Joseph Mallord William",artist,558,Two Sketches of Roslin Castle; and the Continuation of a Sketch of a Town,1818,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1818,1856,support: 90 x 112 mm,90,112,,mm,,,http://www.tate.org.uk/art/images/work/D/D13/D13481_8.jpg,http://www.tate.org.uk/art/artworks/turner-two-sketches-of-roslin-castle-and-the-continuation-of-a-sketch-of-a-town-d13481
41085,D13718,"Turner, Joseph Mallord William",artist,558,Roslin Castle,1818,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1818,1856,support: 112 x 186 mm,112,186,,mm,,,http://www.tate.org.uk/art/images/work/D/D13/D13718_8.jpg,http://www.tate.org.uk/art/artworks/turner-roslin-castle-d13718
41852,D14490,"Turner, Joseph Mallord William",artist,558,Figures,1819,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1819,1856,support: 111 x 184 mm,111,184,,mm,,,http://www.tate.org.uk/art/images/work/D/D14/D14490_8.jpg,http://www.tate.org.uk/art/artworks/turner-figures-d14490
42241,D14881,"Turner, Joseph Mallord William",artist,558,Osimo [Turner],1828-9,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1828,1856,support: 97 x 132 mm,97,132,,mm,,,http://www.tate.org.uk/art/images/work/D/D14/D14881_8.jpg,http://www.tate.org.uk/art/artworks/turner-osimo-turner-d14881
42244,D14885,"Turner, Joseph Mallord William",artist,558,Interior of St Domino [Turner],1828-9,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1828,1856,support: 97 x 132 mm,97,132,,mm,,,http://www.tate.org.uk/art/images/work/D/D14/D14885_8.jpg,http://www.tate.org.uk/art/artworks/turner-interior-of-st-domino-turner-d14885
42425,D15069,"Turner, Joseph Mallord William",artist,558,"Rocca Pia, Tivoli",1819,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1819,1856,support: 112 x 186 mm,112,186,,mm,,,http://www.tate.org.uk/art/images/work/D/D15/D15069_8.jpg,http://www.tate.org.uk/art/artworks/turner-rocca-pia-tivoli-d15069
42719,D15363,"Turner, Joseph Mallord William",artist,558,"The Forum of Trajan, Rome",1819,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1819,1856,support: 113 x 189 mm,113,189,,mm,,,http://www.tate.org.uk/art/images/work/D/D15/D15363_8.jpg,http://www.tate.org.uk/art/artworks/turner-the-forum-of-trajan-rome-d15363
42930,D15574,"Turner, Joseph Mallord William",artist,558,Part of a View of Lake Nemi with the Towns of Nemi and Genzano,1819,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1819,1856,support: 122 x 197 mm,122,197,,mm,,,http://www.tate.org.uk/art/images/work/D/D15/D15574_8.jpg,http://www.tate.org.uk/art/artworks/turner-part-of-a-view-of-lake-nemi-with-the-towns-of-nemi-and-genzano-d15574
43048,D15692,"Turner, Joseph Mallord William",artist,558,"Four Views of Naples, Including the City and the Island of Capri Seen from Capodimonte",1819,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1819,1856,support: 122 x 197 mm,122,197,,mm,,,http://www.tate.org.uk/art/images/work/D/D15/D15692_8.jpg,http://www.tate.org.uk/art/artworks/turner-four-views-of-naples-including-the-city-and-the-island-of-capri-seen-from-d15692
43155,D15799,"Turner, Joseph Mallord William",artist,558,"Ponte del Diavolo, Molina",1819,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1819,1856,support: 113 x 189 mm,113,189,,mm,,,http://www.tate.org.uk/art/images/work/D/D15/D15799_8.jpg,http://www.tate.org.uk/art/artworks/turner-ponte-del-diavolo-molina-d15799
43310,D15954,"Turner, Joseph Mallord William",artist,558,Fondi,1819,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1819,1856,support: 113 x 189 mm,113,189,,mm,,,http://www.tate.org.uk/art/images/work/D/D15/D15954_8.jpg,http://www.tate.org.uk/art/artworks/turner-fondi-d15954
43323,D15967,"Turner, Joseph Mallord William",artist,558,Studies of Peasants,1819,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1819,1856,support: 113 x 189 mm,113,189,,mm,,,http://www.tate.org.uk/art/images/work/D/D15/D15967_8.jpg,http://www.tate.org.uk/art/artworks/turner-studies-of-peasants-d15967
43412,D16056,"Turner, Joseph Mallord William",artist,558,"Santa Lucia, Naples, with the Fountain of Santa Lucia",1819,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1819,1856,support: 113 x 189 mm,113,189,,mm,,,http://www.tate.org.uk/art/images/work/D/D16/D16056_8.jpg,http://www.tate.org.uk/art/artworks/turner-santa-lucia-naples-with-the-fountain-of-santa-lucia-d16056
44418,D17062,"Turner, Joseph Mallord William",artist,558,Lecture Diagram 42: Perspective Construction of a Tuscan Entablature,c.1810,Graphite and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1810,1856,support: 672 x 1004 mm,672,1004,,mm,,,http://www.tate.org.uk/art/images/work/D/D17/D17062_8.jpg,http://www.tate.org.uk/art/artworks/turner-lecture-diagram-42-perspective-construction-of-a-tuscan-entablature-d17062
44424,D17068,"Turner, Joseph Mallord William",artist,558,Perspective Study of a Doric Entablature,c.1810,"Pen and ink, graphite and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,1810,1856,support: 306 x 488 mm,306,488,,mm,,,http://www.tate.org.uk/art/images/work/D/D17/D17068_8.jpg,http://www.tate.org.uk/art/artworks/turner-perspective-study-of-a-doric-entablature-d17068
44478,D17122,"Turner, Joseph Mallord William",artist,558,"Lecture Diagram 4: Two Studies of the Monument, London, Seen from Below",c.1810,Graphite and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1810,1856,support: 672 x 997 mm,672,997,,mm,,,http://www.tate.org.uk/art/images/work/D/D17/D17122_8.jpg,http://www.tate.org.uk/art/artworks/turner-lecture-diagram-4-two-studies-of-the-monument-london-seen-from-below-d17122
44878,D17522,"Turner, Joseph Mallord William",artist,558,Sketches of Vessels Passing the North Berwick Coast and Nearby Islands,1822,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1822,1856,support: 187 x 114 mm,187,114,,mm,,,http://www.tate.org.uk/art/images/work/D/D17/D17522_8.jpg,http://www.tate.org.uk/art/artworks/turner-sketches-of-vessels-passing-the-north-berwick-coast-and-nearby-islands-d17522
44920,D17564,"Turner, Joseph Mallord William",artist,558,Continuation of a View of Edinburgh from Calton Hill; Composition Perhaps Relating to the Regalia Ceremony at Holyrood; Granton Castle and the Firth of Forth with Inchkeith,1822,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1822,1856,support: 114 x 187 mm,114,187,,mm,,,http://www.tate.org.uk/art/images/work/D/D17/D17564_8.jpg,http://www.tate.org.uk/art/artworks/turner-continuation-of-a-view-of-edinburgh-from-calton-hill-composition-perhaps-relating-d17564
45009,D17653,"Turner, Joseph Mallord William",artist,558,Bamburgh Castle and Coast,1822,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1822,1856,support: 187 x 114 mm,187,114,,mm,,,http://www.tate.org.uk/art/images/work/D/D17/D17653_8.jpg,http://www.tate.org.uk/art/artworks/turner-bamburgh-castle-and-coast-d17653
45189,D17834,"Turner, Joseph Mallord William",artist,558,"A Crowd of Figures, Some Struggling (?Sketch of Haydon’s ‘Raising of Lazarus’); Also Sketches at Wapping [Turner]",c.1823-4,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1823,1856,support: 103 x 167 mm,103,167,,mm,,,http://www.tate.org.uk/art/images/work/D/D17/D17834_8.jpg,http://www.tate.org.uk/art/artworks/turner-a-crowd-of-figures-some-struggling-sketch-of-haydons-raising-of-lazarus-also-d17834
46208,D18855,"Turner, Joseph Mallord William",artist,558,Scene on Coast (?at Folkestone),1825,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1825,1856,support: 155 x 95 mm,155,95,,mm,,,http://www.tate.org.uk/art/images/work/D/D18/D18855_8.jpg,http://www.tate.org.uk/art/artworks/turner-scene-on-coast-at-folkestone-d18855
47127,D19774,"Turner, Joseph Mallord William",artist,558,"Five Views at and near the Marienburg: (1)-(3) The Marienburg; (5) Briedel and the Marienburg, Looking Upstream",1824,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1824,1856,support: 118 x 78 mm,118,78,,mm,,,http://www.tate.org.uk/art/images/work/D/D19/D19774_8.jpg,http://www.tate.org.uk/art/artworks/turner-five-views-at-and-near-the-marienburg-1-3-the-marienburg-5-briedel-and-the-d19774
47703,D20351,"Turner, Joseph Mallord William",artist,558,[title not known],c.1826,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1826,1856,support: 138 x 190 mm,138,190,,mm,,,http://www.tate.org.uk/art/images/work/D/D20/D20351_8.jpg,http://www.tate.org.uk/art/artworks/turner-title-not-known-d20351
47736,D20384,"Turner, Joseph Mallord William",artist,558,[title not known],c.1826,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1826,1856,support: 140 x 190 mm,140,190,,mm,,,http://www.tate.org.uk/art/images/work/D/D20/D20384_8.jpg,http://www.tate.org.uk/art/artworks/turner-title-not-known-d20384
49466,D22128,"Turner, Joseph Mallord William",artist,558,"Virginia Water, with the Chinese Fishing Temple Beyond and the Five Arch Bridge in the Distance",c.1827,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1827,1856,support: 120 x 203 mm,120,203,,mm,,,http://www.tate.org.uk/art/images/work/D/D22/D22128_8.jpg,http://www.tate.org.uk/art/artworks/turner-virginia-water-with-the-chinese-fishing-temple-beyond-and-the-five-arch-bridge-in-d22128
49525,D22187,"Turner, Joseph Mallord William",artist,558,"?Peak District Hills or a Cave, Perhaps Peak Cavern, Castleton; Sketch Map of the Peak District",?1831,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1831,1856,support: 114 x 191 mm,114,191,,mm,,,http://www.tate.org.uk/art/images/work/D/D22/D22187_8.jpg,http://www.tate.org.uk/art/artworks/turner-peak-district-hills-or-a-cave-perhaps-peak-cavern-castleton-sketch-map-of-the-peak-d22187
49780,D22442,"Turner, Joseph Mallord William",artist,558,Hammersmith Bridge from Barnes,c.1827,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1827,1856,support: 78 x 110 mm,78,110,,mm,,,http://www.tate.org.uk/art/images/work/D/D22/D22442_8.jpg,http://www.tate.org.uk/art/artworks/turner-hammersmith-bridge-from-barnes-d22442
49846,D22508,"Turner, Joseph Mallord William",artist,558,Blank,c.1829-30,,Accepted by the nation as part of the Turner Bequest 1856,1829,1856,support: 113 x 89 mm,113,89,,mm,,,,http://www.tate.org.uk/art/artworks/turner-blank-d22508
50966,D23629,"Turner, Joseph Mallord William",artist,558,Rocks. G... Harb - [Turner],?1832,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856,support: 114 x 187 mm,114,187,,mm,,,http://www.tate.org.uk/art/images/work/D/D23/D23629_8.jpg,http://www.tate.org.uk/art/artworks/turner-rocks-g-harb-turner-d23629
51186,D23849,"Turner, Joseph Mallord William",artist,558,Rouen from River,?1829,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1829,1856,support: 156 x 107 mm,156,107,,mm,,,http://www.tate.org.uk/art/images/work/D/D23/D23849_8.jpg,http://www.tate.org.uk/art/artworks/turner-rouen-from-river-d23849
51201,D23864,"Turner, Joseph Mallord William",artist,558,Distant Town,?1829,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1829,1856,support: 156 x 107 mm,156,107,,mm,,,http://www.tate.org.uk/art/images/work/D/D23/D23864_8.jpg,http://www.tate.org.uk/art/artworks/turner-distant-town-d23864
51246,D23909,"Turner, Joseph Mallord William",artist,558,Houses on Hill,1832,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856,support: 174 x 117 mm,174,117,,mm,,,http://www.tate.org.uk/art/images/work/D/D23/D23909_8.jpg,http://www.tate.org.uk/art/artworks/turner-houses-on-hill-d23909
51506,D24169,"Turner, Joseph Mallord William",artist,558,"Château, Etc. Mal M. [Turner] (?Malmaison)",1832,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1832,1856,support: 175 x 127 mm,175,127,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24169_8.jpg,http://www.tate.org.uk/art/artworks/turner-chateau-etc-mal-m-turner-malmaison-d24169
52680,D25343,"Turner, Joseph Mallord William",artist,558,Moonlight at the Château,c.1820-30,Watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1820,1856,support: 190 x 269 mm,190,269,,mm,,,http://www.tate.org.uk/art/images/work/D/D25/D25343_8.jpg,http://www.tate.org.uk/art/artworks/turner-moonlight-at-the-chateau-d25343
